file_path	artifact_type	classification	validity_for_closure	owner_field	decision_field	ca_method_markers	parity_scope	source_notes
evidence/_quarantine/2026-02-15T05-12-27Z_20260216T115329Z/ruleset_detail_status.txt	txt	UNKNOWN	NO					
evidence/_quarantine/2026-02-15T05-12-27Z_20260216T115329Z/rulesets_fetch_status.txt	txt	UNKNOWN	NO					
evidence/_quarantine/2026-02-15T05-12-27Z_20260216T115329Z/rulesets_raw.json	json	UNKNOWN	NO					
evidence/_quarantine/2026-02-15T052900Z_20260216T115329Z/evidence_OMOC_v4_20260215T052900Z.txt	txt	UNKNOWN	NO					
evidence/_quarantine/20260214T142541Z-swarm-run-1_20260216T115329Z/accept_after.txt	txt	UNKNOWN	NO					
evidence/_quarantine/20260214T142541Z-swarm-run-1_20260216T115329Z/accept_before.txt	txt	UNKNOWN	NO					
evidence/_quarantine/20260214T142541Z-swarm-run-1_20260216T115329Z/checks_manifest.json	json	UNKNOWN	NO					
evidence/_quarantine/20260214T142541Z-swarm-run-1_20260216T115329Z/evidence_index.md	md	UNKNOWN	NO					
evidence/_quarantine/20260214T142541Z-swarm-run-1_20260216T115329Z/git_branch.txt	txt	UNKNOWN	NO					
evidence/_quarantine/20260214T142541Z-swarm-run-1_20260216T115329Z/git_branch_after.txt	txt	UNKNOWN	NO					
evidence/_quarantine/20260214T142541Z-swarm-run-1_20260216T115329Z/git_diff_names_after.txt	txt	UNKNOWN	NO					
evidence/_quarantine/20260214T142541Z-swarm-run-1_20260216T115329Z/git_diff_names_before.txt	txt	UNKNOWN	NO					
evidence/_quarantine/20260214T142541Z-swarm-run-1_20260216T115329Z/git_status_after.txt	txt	UNKNOWN	NO					
evidence/_quarantine/20260214T142541Z-swarm-run-1_20260216T115329Z/git_status_before.txt	txt	UNKNOWN	NO					
evidence/_quarantine/20260214T142541Z-swarm-run-1_20260216T115329Z/ls_acc_dir.txt	txt	UNKNOWN	NO					
evidence/_quarantine/20260214T142541Z-swarm-run-1_20260216T115329Z/verdict.json	json	UNKNOWN	NO					
evidence/_quarantine/20260214T142734Z-swarm-run-2_20260216T115329Z/accept.txt	txt	UNKNOWN	NO					
evidence/_quarantine/20260214T142734Z-swarm-run-2_20260216T115329Z/checks_manifest.json	json	UNKNOWN	NO					
evidence/_quarantine/20260214T142734Z-swarm-run-2_20260216T115329Z/evidence_index.md	md	UNKNOWN	NO					
evidence/_quarantine/20260214T142734Z-swarm-run-2_20260216T115329Z/git_branch.txt	txt	UNKNOWN	NO					
