filename	original_path	target_path	target_dir	reason
OMOC WP__OMOC_WP-013+RB+WI_v4.0.1-r2.md.HOW.md	/workspaces/omoc-wt-full/docs/_staging/wrc_support_how_unclassified/OMOC WP__OMOC_WP-013+RB+WI_v4.0.1-r2.md.HOW.md	/workspaces/omoc-wt-full/docs/runbook/OMOC WP__OMOC_WP-013+RB+WI_v4.0.1-r2.md.md	docs/runbook/	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC WP__OMOC_WP-014+RB+WI_v4.0.1-r2.md.HOW.md	/workspaces/omoc-wt-full/docs/_staging/wrc_support_how_unclassified/OMOC WP__OMOC_WP-014+RB+WI_v4.0.1-r2.md.HOW.md	/workspaces/omoc-wt-full/docs/runbook/OMOC WP__OMOC_WP-014+RB+WI_v4.0.1-r2.md.md	docs/runbook/	Pattern match: RB\s*\+\s*WI|RUNBOOK
Spartoi-OMOC_SubP1-LITE+MVP_Pack A-E+工程指南__Spartoi-OMOC_SubP1-LITE+MVP_Control Plane Pack_v2.2.0.md.HOW.md	/workspaces/omoc-wt-full/docs/_staging/wrc_support_how_unclassified/Spartoi-OMOC_SubP1-LITE+MVP_Pack A-E+工程指南__Spartoi-OMOC_SubP1-LITE+MVP_Control Plane Pack_v2.2.0.md.HOW.md	/workspaces/omoc-wt-full/docs/packages/B_control_plane/Spartoi-OMOC_SubP1-LITE+MVP_Pack A-E+工程指南__Spartoi-OMOC_SubP1-LITE+MVP_Control Plane Pack_v2.2.0.md.md	docs/packages/B_control_plane/	Pattern match: Control.*Plane.*Pack|Control Plane
Spartoi-OMOC_SubP1-LITE+MVP_Pack A-E+工程指南__Spartoi-OMOC_SubP1-LITE+MVP_Execution Pack_v1.2.0.md.HOW.md	/workspaces/omoc-wt-full/docs/_staging/wrc_support_how_unclassified/Spartoi-OMOC_SubP1-LITE+MVP_Pack A-E+工程指南__Spartoi-OMOC_SubP1-LITE+MVP_Execution Pack_v1.2.0.md.HOW.md	/workspaces/omoc-wt-full/docs/packages/C_execution/Spartoi-OMOC_SubP1-LITE+MVP_Pack A-E+工程指南__Spartoi-OMOC_SubP1-LITE+MVP_Execution Pack_v1.2.0.md.md	docs/packages/C_execution/	Pattern match: Execution.*Pack(?!.*Subsystem)
Spartoi-OMOC_SubP1-LITE+MVP_Pack A-E+工程指南__Spartoi-OMOC_SubP1-LITE+MVP_Governance_Index Pack_v1.2.0.md.HOW.md	/workspaces/omoc-wt-full/docs/_staging/wrc_support_how_unclassified/Spartoi-OMOC_SubP1-LITE+MVP_Pack A-E+工程指南__Spartoi-OMOC_SubP1-LITE+MVP_Governance_Index Pack_v1.2.0.md.HOW.md	/workspaces/omoc-wt-full/docs/packages/A_governance_index/Spartoi-OMOC_SubP1-LITE+MVP_Pack A-E+工程指南__Spartoi-OMOC_SubP1-LITE+MVP_Governance_Index Pack_v1.2.0.md.md	docs/packages/A_governance_index/	Pattern match: Governance.*Pack|Governance_Index
Spartoi-OMOC_SubP1-LITE+MVP_Pack A-E+工程指南__Spartoi-OMOC_SubP1-LITE+MVP_Subsystem Delivery Pack_v1.2.0.md.HOW.md	/workspaces/omoc-wt-full/docs/_staging/wrc_support_how_unclassified/Spartoi-OMOC_SubP1-LITE+MVP_Pack A-E+工程指南__Spartoi-OMOC_SubP1-LITE+MVP_Subsystem Delivery Pack_v1.2.0.md.HOW.md	/workspaces/omoc-wt-full/docs/packages/E_subsystem_delivery/Spartoi-OMOC_SubP1-LITE+MVP_Pack A-E+工程指南__Spartoi-OMOC_SubP1-LITE+MVP_Subsystem Delivery Pack_v1.2.0.md.md	docs/packages/E_subsystem_delivery/	Pattern match: Subsystem.*Delivery.*Pack|Delivery Pack
Spartoi-OMOC_SubP1-LITE+MVP_Pack A-E+工程指南__Spartoi-OMOC_SubP1-LITE+MVP_前端文檔到實作驗收_工程指南.md.HOW.md	/workspaces/omoc-wt-full/docs/_staging/wrc_support_how_unclassified/Spartoi-OMOC_SubP1-LITE+MVP_Pack A-E+工程指南__Spartoi-OMOC_SubP1-LITE+MVP_前端文檔到實作驗收_工程指南.md.HOW.md	/workspaces/omoc-wt-full/docs/guides/Spartoi-OMOC_SubP1-LITE+MVP_Pack A-E+工程指南__Spartoi-OMOC_SubP1-LITE+MVP_前端文檔到實作驗收_工程指南.md.md	docs/guides/	Pattern match: 工程指南|Engineering Guide
Spartoi-OMOC__Spartoi-OMOC_ARCH_v8.1.0.md.HOW.md	/workspaces/omoc-wt-full/docs/_staging/wrc_support_how_unclassified/Spartoi-OMOC__Spartoi-OMOC_ARCH_v8.1.0.md.HOW.md	/workspaces/omoc-wt-full/docs/ssot/Spartoi-OMOC__Spartoi-OMOC_ARCH_v8.1.0.md.md	docs/ssot/	Pattern match: _ARCH_|_SRS_|Architecture
Spartoi-OMOC__Spartoi-OMOC_SRS_v8.1.0.md.HOW.md	/workspaces/omoc-wt-full/docs/_staging/wrc_support_how_unclassified/Spartoi-OMOC__Spartoi-OMOC_SRS_v8.1.0.md.HOW.md	/workspaces/omoc-wt-full/docs/ssot/Spartoi-OMOC__Spartoi-OMOC_SRS_v8.1.0.md.md	docs/ssot/	Pattern match: _ARCH_|_SRS_|Architecture
Spartoi-OMOC__Spartoi-OMOC_dev RB + WI_v8.1.1-dev-r2.md.HOW.md	/workspaces/omoc-wt-full/docs/_staging/wrc_support_how_unclassified/Spartoi-OMOC__Spartoi-OMOC_dev RB + WI_v8.1.1-dev-r2.md.HOW.md	/workspaces/omoc-wt-full/docs/runbook/Spartoi-OMOC__Spartoi-OMOC_dev RB + WI_v8.1.1-dev-r2.md.md	docs/runbook/	Pattern match: RB\s*\+\s*WI|RUNBOOK
Spartoi-OMOC__Spartoi-OMOC_ops RB + WI _v8.1.1-ops-r1.md.HOW.md	/workspaces/omoc-wt-full/docs/_staging/wrc_support_how_unclassified/Spartoi-OMOC__Spartoi-OMOC_ops RB + WI _v8.1.1-ops-r1.md.HOW.md	/workspaces/omoc-wt-full/docs/runbook/Spartoi-OMOC__Spartoi-OMOC_ops RB + WI _v8.1.1-ops-r1.md.md	docs/runbook/	Pattern match: RB\s*\+\s*WI|RUNBOOK
